cohort,horizon,n,madj_mean,madj_median,madj_se,madj_t,madj_p,raw_mean,raw_median
hot,0,44,-0.06914491696032296,-0.042698052491428384,0.009935976337777448,-6.95904605744963,1.475053048053423e-08,-0.06914491696032296,-0.042698052491428384
hot,5,44,-0.0865875674285732,-0.0778106615324684,0.022024606715454708,-3.931401297977073,0.00030240810318003314,-0.08110514557398144,-0.06080857856364291
hot,10,44,-0.07647414439278323,-0.09120683769341237,0.03888235944967676,-1.9668082255080068,0.05567999573135082,-0.0693359276905051,-0.09997723678912473
hot,15,44,-0.08401099619413833,-0.1062422202889608,0.03131843057146841,-2.6824778464689,0.010327965623351965,-0.06658442661052986,-0.09108658622895272
hot,20,44,-0.06932041785035986,-0.09225267153185118,0.03989724195518128,-1.7374739318630399,0.08946208147510822,-0.04797399365066297,-0.09228814961791226
hot,60,44,-0.07969117414108508,-0.11739499517116142,0.06242526758222287,-1.2765852230608477,0.2086002280367985,-0.029900620630902385,-0.09098527366065506
hot,90,44,-0.15628312117695986,-0.24526167800940357,0.0602770308895577,-2.5927475005082594,0.012959651996382684,-0.0840685180148486,-0.13802461692249712
hot,180,44,-0.2714982626280864,-0.24175108106866966,0.05658127131151904,-4.798376853946965,1.9536535041403283e-05,-0.15022325331504696,-0.13739401269954743
mid,0,44,-0.06139355562080187,-0.04150717053163655,0.008127151724472894,-7.554129380399097,2.0471561113990842e-09,-0.06139355562080187,-0.04150717053163655
mid,5,44,-0.0428045120847676,-0.035107420283479795,0.01833400937714701,-2.334705475722217,0.0242969618096546,-0.03759161451339014,-0.03417528789560448
mid,10,44,-0.06971723655879539,-0.0532342723648872,0.020766471895928066,-3.357201787004835,0.001656062731456524,-0.05322574151231805,-0.03287835618887458
mid,15,44,-0.07481386285804097,-0.049636418874747956,0.02358343860590614,-3.1723051124234654,0.0027902849935805894,-0.057155030023893265,-0.05546041370282617
mid,20,44,-0.08975956223271163,-0.06960191155725093,0.02552395287939171,-3.516679514997239,0.0010446352049648948,-0.06628252585455201,-0.04166786271851758
mid,60,44,-0.12675797094563193,-0.16104068485466844,0.041017317531949295,-3.0903525284630655,0.0035001183682445837,-0.06848549726343162,-0.10073329957533605
mid,90,44,-0.1463529024462507,-0.19458878079981062,0.05052986178937175,-2.8963645904338096,0.005914045077324553,-0.08028065449574419,-0.15252103719065258
mid,180,44,-0.2447334315751962,-0.24502288849232073,0.05695890540544921,-4.296666690364151,9.733480343958073e-05,-0.13373344688102937,-0.17459967230969725
cold,0,44,-0.06472356085135111,-0.047251040135439515,0.00886607597496284,-7.300136050505972,4.742954366536861e-09,-0.06472356085135111,-0.047251040135439515
cold,5,44,-0.02950411133189978,-0.035326194794960686,0.01956338039949075,-1.508129511843863,0.13883421410455413,-0.03063709327005744,-0.04426669409308803
cold,10,44,-0.05471994951270712,-0.03754405000826283,0.02303116101104954,-2.375909294648863,0.022031735995192193,-0.06140513886676036,-0.05242358823063925
cold,15,44,-0.0835224943100168,-0.04656747460683708,0.023097519462972504,-3.616080698358593,0.0007801698995357659,-0.07838814165598716,-0.05786203347581037
cold,20,44,-0.06523694225049952,-0.041218179329085836,0.02669502726720918,-2.443786312615356,0.018712012172103318,-0.055130445264143124,-0.05420199868765946
cold,60,44,-0.06831239616234848,-0.1073226852281941,0.07011103967595983,-0.9743457874548096,0.3353345158607107,-0.023757280741853216,-0.0347639028911248
cold,90,44,-0.13918354344700765,-0.10440802899511548,0.05626799851689838,-2.4735826245038397,0.017403307329757086,-0.0557700338048646,-0.011629221341590945
cold,180,44,-0.2524982156324944,-0.24610596952544112,0.05700140016959892,-4.429684444263207,6.38967677905444e-05,-0.12696637676409214,-0.14905088210904294
large_cap,0,63,-0.061560076951813585,-0.04471857453854333,0.007038045441099915,-8.746757529060924,2.0238494229541256e-12,-0.061560076951813585,-0.04471857453854333
large_cap,5,63,-0.05282299001230251,-0.06305255995233816,0.0178571309984164,-2.958089405122634,0.004377074038779747,-0.04974465007659579,-0.04905657498341687
large_cap,10,63,-0.07550559289706503,-0.061351473841288584,0.019239660507666706,-3.924476363134226,0.00022051991312208293,-0.06621773338264071,-0.04125018513879497
large_cap,15,63,-0.08138454079094051,-0.05792308582869421,0.020592152700941415,-3.9522114065917857,0.00020107412189586477,-0.06789332761127925,-0.03858131610380089
large_cap,20,63,-0.08559432118214091,-0.057601732893651225,0.022828477897474567,-3.7494537115682998,0.0003918349778118589,-0.06371079045638049,-0.04158412820041768
large_cap,60,63,-0.08671590275926812,-0.1422002669406235,0.06032931381548353,-1.4373759168633617,0.15563914838428689,-0.03448362823006328,-0.10830688653675202
large_cap,90,63,-0.16616731332771562,-0.2426662568346004,0.04997159492204012,-3.325235337934492,0.0014874415628271637,-0.0913504994724984,-0.12336754777597658
large_cap,180,63,-0.3016308091537891,-0.2919803489303,0.04630043229078751,-6.5146434758840295,1.4767728869629402e-08,-0.176950909286856,-0.19817852032274685
high-VIX,0,66,-0.0763786028991378,-0.05424861543900755,0.008154598393412421,-9.366323050420139,1.1268067520059922e-13,-0.0763786028991378,-0.05424861543900755
high-VIX,5,66,-0.07416219040096939,-0.06769076409206942,0.01633080130287899,-4.541246263763871,2.4827843712948883e-05,-0.07049018481069604,-0.059302239491789865
high-VIX,10,66,-0.0766571156865765,-0.08484553161919867,0.027753713540681825,-2.7620489623563818,0.0074602495264561395,-0.07166017273633134,-0.09095116667195463
high-VIX,15,66,-0.10798948207508495,-0.1043723196864389,0.02352383450637217,-4.590641123828371,2.0776966118543787e-05,-0.09221775753943531,-0.09063216203094454
high-VIX,20,66,-0.0966909878705427,-0.09866917358544769,0.028129684999844886,-3.4373292083105755,0.0010293598022745488,-0.0741538497847899,-0.07489974462181465
high-VIX,60,66,-0.09220853611954702,-0.18762006198467068,0.06102423670522294,-1.5110149851600696,0.13563120700331555,-0.026647993969236,-0.11524414023429308
high-VIX,90,66,-0.17952415909373465,-0.23924684203097873,0.05176855596751441,-3.467822421131254,0.0009357323538939404,-0.08982293472093923,-0.12207982443008131
high-VIX,180,66,-0.34797816054574954,-0.33458298289240923,0.04484149634231532,-7.760181727418738,7.785336095256533e-11,-0.22316478419413366,-0.24552618317518804
low-VIX,0,66,-0.05379608605584619,-0.03563839261112167,0.0061014201693774086,-8.8169777793447,1.0412088674566507e-12,-0.05379608605584619,-0.03563839261112167
low-VIX,5,66,-0.03176860349585763,-0.029734525324129624,0.01639358271927297,-1.9378682524662014,0.056985536188849994,-0.02906571742758999,-0.028500710034318755
low-VIX,10,66,-0.057283771289614,-0.04007243145001993,0.01789615490624788,-3.200898270589688,0.0021205133270850956,-0.05098436597672434,-0.04334465754151817
low-VIX,15,66,-0.05357542016637911,-0.026702203929662494,0.01837264215026946,-2.916043306574354,0.0048602964433506505,-0.042533974654171566,-0.041527428208512907
low-VIX,20,66,-0.05285362701850462,-0.03564305934579581,0.02238529300826159,-2.3610871208609283,0.021229925512038172,-0.03877079339478215,-0.03037695989330058
low-VIX,60,66,-0.09096582471316333,-0.08876824261628746,0.030401344584664237,-2.992164522849771,0.003911979577935294,-0.054780938454888815,-0.05150262589683241
low-VIX,90,66,-0.11502221895307754,-0.10290800530184557,0.03760711055977036,-3.0585231686510057,0.003228632773834163,-0.05692320282269903,-0.05602700785150655
low-VIX,180,66,-0.16450844601143516,-0.16811164652918303,0.04483196049889865,-3.669445729804221,0.0004922437553345832,-0.050783933779311966,-0.11570768029800305
