ticker,first_trade,raw_return_+180,madj_return_+180,faded
TUYA,2021-03-19,-0.7749419868889492,-1.0027780077874935,True
FIG,2025-07-31,-0.8474685015821062,-0.9964598467999439,True
RLX,2021-01-22,-0.8430739398048792,-0.9568254110197689,True
LOGC,2020-12-16,-0.6957983236019016,-0.93597047456191,True
CPNG,2021-03-11,-0.6118840480196304,-0.870121689984996,True
GRPN,2011-11-04,-0.7675015961948088,-0.8579938177763387,True
VG,2025-01-24,-0.6217656739123605,-0.762721892531885,True
MQ,2021-06-09,-0.6937404661688186,-0.7081650978998154,True
LU,2020-10-30,-0.3555718609074403,-0.703457892633212,True
SNAP,2017-03-02,-0.521689044028051,-0.6966360879763722,True
HOOD,2021-07-29,-0.717267077902089,-0.6440767541245439,True
LYFT,2019-03-29,-0.4723476207095526,-0.6304619537964061,True
YMM,2021-06-23,-0.6744186046511628,-0.6293298468378095,True
PATH,2021-04-21,-0.46140797816401224,-0.598058949978158,True
GDRX,2020-09-23,-0.28968714472039403,-0.585456097761396,True
TOST,2021-09-22,-0.7584482482740792,-0.5706167375035768,True
KVUE,2023-05-04,-0.2102110597356882,-0.5567868055024311,True
RIVN,2021-11-10,-0.708605377196796,-0.5216023496882267,True
FRSH,2021-09-22,-0.7062564165164262,-0.5184249057459238,True
META,2012-05-18,-0.36333339955311694,-0.4819628750762328,True
SNOW,2020-09-16,-0.23962383210472182,-0.4654822565428557,True
ADT,2018-01-19,-0.3217768102938682,-0.4108346340956509,True
PINS,2019-04-18,-0.2490071636923239,-0.4067079088201151,True
ZTO,2016-10-27,-0.17289964100560862,-0.39704937360078996,True
UBER,2019-05-10,-0.1775555928548177,-0.38225476449110396,True
CRBG,2022-09-16,-0.1414815152702722,-0.37499578246330767,True
NU,2021-12-09,-0.5980392019366445,-0.3746177107387375,True
PLTK,2021-01-19,-0.20518095694392202,-0.3386585721845179,True
RPRX,2020-06-16,-0.07464600044132674,-0.33131034363702905,True
LINE,2024-07-25,-0.323875694093235,-0.32665977668797663,True
ABNB,2020-12-10,-0.05442421653053975,-0.3167302555706897,True
DASH,2020-12-09,-0.03867006423833119,-0.2919803489303,True
GM,2010-11-18,-0.3173103969762213,-0.287664291123379,True
ALLY,2014-04-10,-0.03227110724550297,-0.27746715454284343,True
TME,2018-12-12,-0.09830502708296318,-0.24198848884216784,True
OLPX,2021-09-30,-0.4713207460799307,-0.24062703169935085,True
IOT,2021-12-15,-0.49346534804542463,-0.24017532587619017,True
PDD,2018-07-26,-0.19817852032274685,-0.23715119936306683,True
GTLB,2021-10-14,-0.4419284581748434,-0.22810185097270674,True
WMG,2020-06-03,0.1928612023740175,-0.2106484244515281,True
RKT,2020-08-06,0.03753509373162389,-0.2102127083402776,True
BABA,2014-09-19,-0.12156460521762458,-0.20840025318820554,True
HCA,2011-03-10,-0.25142853424565426,-0.20590023749871578,True
ZTS,2013-02-01,0.05098775557481461,-0.1734964006985653,True
KMI,2011-02-11,-0.07098590892146606,-0.08510701988959413,True
XPEV,2020-08-27,0.04480003356933593,-0.07325032346455962,True
EQH,2018-05-10,-0.08927701341857608,-0.04831074799643542,True
HLT,2013-12-12,0.16149644976462874,-0.030907367373504302,True
AR,2013-10-10,0.19283890780406487,-0.016555950866509406,True
XP,2019-12-11,0.4211426785501464,-0.01460667346775768,True
JD,2014-05-22,0.1671052624078102,0.004867444548106281,False
U,2020-09-18,0.27685899052947627,0.011087033593365714,False
AFRM,2021-01-13,0.15660191508172772,0.019955631798822315,False
MBLY,2022-10-26,0.48559945424024176,0.09030834359584827,False
CFG,2014-09-24,0.20060116723959842,0.10478490042909594,False
PAGP,2013-10-16,0.33946769586338665,0.137812816125382,False
APP,2021-04-15,0.3143615586070523,0.13825046242957595,False
BEKE,2020-08-13,0.37663370712562405,0.13902109164490395,False
SYF,2014-07-31,0.28749972977855665,0.14556272477368015,False
GFS,2021-10-28,-0.0239583651224774,0.1962144713148094,False
CRWV,2025-03-28,0.725083472655287,0.420152712502043,False
VIK,2024-05-01,0.8052866930978126,0.5545238102757797,False
ARM,2023-09-14,0.9179240357241689,0.7104782526847471,False
